table_schema,table_name,column_name,data_type,character_maximum_length,column_default,is_nullable,udt_name,column_description,constraints
public,api_keys,id,integer,,nextval('api_keys_id_seq'::regclass),NO,int4,,PRIMARY KEY
public,api_keys,api_key,uuid,,uuid_generate_v4(),YES,uuid,,UNIQUE
public,api_keys,location_id,integer,,,NO,int4,,
public,api_keys,name,character varying,255,,NO,varchar,,
public,api_keys,created_at,timestamp with time zone,,,YES,timestamptz,,
public,api_keys,updated_at,timestamp with time zone,,,YES,timestamptz,,
public,api_keys,deleted_at,timestamp with time zone,,,YES,timestamptz,,
public,categories,id,integer,,nextval('categories_id_seq'::regclass),NO,int4,,PRIMARY KEY
public,categories,created_at,timestamp with time zone,,,YES,timestamptz,,
public,categories,updated_at,timestamp with time zone,,,YES,timestamptz,,
public,categories,deleted_at,timestamp with time zone,,,YES,timestamptz,,
public,categories,name,text,,,YES,text,,
public,categories,description,text,,,YES,text,,
public,categories,menu_id,integer,,,NO,int4,,
public,categories,disabled,boolean,,,NO,bool,,
public,categories,start_time,smallint,,,YES,int2,,
public,categories,end_time,smallint,,,YES,int2,,
public,categories,seq_num,integer,,0,YES,int4,,
public,device_sessions,id,integer,,nextval('device_sessions_id_seq'::regclass),NO,int4,,PRIMARY KEY
public,device_sessions,device_token,text,,,YES,text,,
public,device_sessions,device_type,integer,,,NO,int4,,
public,device_sessions,user_id,integer,,,NO,int4,,
public,device_sessions,expires_at,timestamp with time zone,,,YES,timestamptz,,
public,device_sessions,created_at,timestamp with time zone,,,YES,timestamptz,,
public,device_sessions,updated_at,timestamp with time zone,,,YES,timestamptz,,
public,device_sessions,deleted_at,timestamp with time zone,,,YES,timestamptz,,
public,discounts,id,integer,,nextval('discounts_id_seq'::regclass),NO,int4,,PRIMARY KEY
public,discounts,created_at,timestamp with time zone,,,YES,timestamptz,,
public,discounts,updated_at,timestamp with time zone,,,YES,timestamptz,,
public,discounts,deleted_at,timestamp with time zone,,,YES,timestamptz,,
public,discounts,order_id,integer,,,NO,int4,,
public,discounts,user_id,integer,,,NO,int4,,
public,discounts,amount,numeric,,,NO,numeric,,
public,discounts,reason,text,,,YES,text,,
